Player,College,NBA Debut,Position,Ht,Wt,College PTS,College TRB,College AST,College FG%,College 3P%,College FT%,PTS,TRB,AST,FG%,3PT%,FT%
Michael Kidd-Gilchrist,Kentucky,2012,3,201,105,11.9,7.4,1.9,0.491,0.255,0.745,9,5.8,1.5,0.458,0.222,0.749
Jeffery Taylor,Vanderbilt,2012,3,201,102,14,5.6,1.9,0.483,0.358,0.693,6.1,1.9,0.8,0.431,0.344,0.728
Tyler Zeller,UNC,2012,5,213,113,12.8,6.7,0.6,0.543,0,0.775,7.9,5.7,1.2,0.438,0,0.764
Maurice Harkless,St. John's,2012,3,203,93,15.5,8.6,1.5,0.452,0.215,0.676,8.2,4.4,0.7,0.461,0.274,0.57
Andrew Nicholson,St. Bonaventure,2012,4,206,108,16.4,7.1,0.5,0.564,0,0.76,7.8,3.4,0.6,0.527,0,0.798
Will Barton,Memphis,2012,2,198,79,15.2,6.5,2.9,0.471,0.299,0.733,4,2,0.8,0.382,0.138,0.769
Terrence Ross,Washington,2012,2,198,88,12.3,4.7,1.2,0.453,0.364,0.764,6.4,2,0.7,0.407,0.332,0.714
Thomas Robinson,Kansas,2012,4,206,107,12.3,4.7,1.2,0.453,0.364,0.764,4.8,4.5,0.7,0.43,0,0.523
Meyers Leonard,Illinois,2012,5,216,111,7.7,4.7,0.7,0.567,0.083,0.729,5.5,3.7,0.5,0.545,0.429,0.809
Anthony Davis,Kentucky,2012,5,208,99,14.2,10.4,1.3,0.623,0.15,0.709,13.5,8.2,1,0.516,0,0.751
John Henson,UNC,2012,5,211,99,10.3,8.1,1,0.497,0.208,0.484,6,4.7,0.5,0.482,0,0.533
Kent Bazemore,Old Dominion,2012,2,196,88,4.5,3.1,1.5,0.433,0.265,0.429,2,0.4,0.4,0.371,0.294,0.614
John Jenkins,Vanderbilt,2012,2,193,97,10.9,2.2,1,0.468,0.483,0.8,6.1,1.5,0.9,0.446,0.384,0.843
Austin Rivers,Duke,2012,1,193,90,15.5,3.4,2.1,0.433,0.365,0.658,6.2,1.8,2.1,0.372,0.326,0.546
Dion Waiters,Syracuse,2012,2,193,97,12.6,2.3,2.5,0.476,0.363,0.729,14.7,2.4,3,0.412,0.31,0.746
Andre Drummond,UConn ,2012,5,208,122,10,7.6,0.4,0.538,0,0.295,7.9,7.6,0.5,0.608,0.5,0.371
Kyle O'Quinn,Norfolk State,2012,4,208,108,5.3,3.4,0.4,0.492,0.378,0.622,4.1,3.7,0.9,0.513,0,0.667
Bradley Beal,Florida,2012,2,190,93,14.8,6.7,2.2,0.445,0.339,0.769,13.9,3.8,2.4,0.41,0.386,0.786
Darius Miller,Kentucky,2012,3,203,102,5.3,3.1,2,0.41,0.333,0.804,2.3,1.5,0.8,0.407,0.393,1
Brandon Knight,Kentucky,2011,1,190,83,17.3,4,4.2,0.423,0.377,0.795,12.8,3.2,3.8,0.415,0.38,0.759
Chris Singleton,Florida State,2011,3,206,99,8.1,4.9,1.1,0.409,0.333,0.611,4.6,3.5,0.7,0.372,0.346,0.682
Klay Thompson,Washingtn State,2011,2,198,90,17.9,4.8,2.6,0.424,0.39,0.827,12.5,2.4,2,0.443,0.414,0.868
Kemba Walker,UConn ,2011,1,185,78,16.1,4.4,4.1,0.428,0.326,0.783,12.1,3.5,4.4,0.366,0.305,0.789
Derrick Williams,Arizona,2011,3,203,106,15.7,7.1,0.7,0.574,0.25,0.681,8.8,4.7,0.6,0.412,0.268,0.697
Norris Cole,Cleveland State,2011,1,188,77,13.3,2.5,2.4,0.453,0.305,0.804,6.8,1.4,2,0.393,0.276,0.776
Isaiah Thomas,Washington,2011,1,173,83,16.4,3.5,4,0.426,0.325,0.713,11.5,2.6,4.1,0.448,0.379,0.832
Kawhi Leonard,San Diego State,2011,3,201,102,12.7,9.9,1.9,0.455,0.205,0.726,7.9,5.1,1.1,0.493,0.376,0.773
Markieff Morris,Kansas,2011,4,208,111,13.6,8.3,1.4,0.589,0.424,0.673,7.4,4.4,1,0.399,0.347,0.717
Chandler Parsons,Florida,2011,3,206,97,12.4,6.9,2.6,0.493,0.358,0.662,9.5,4.8,2.1,0.452,0.337,0.551
Jimmer Fredette,BYU,2011,2,188,88,18.7,2.6,3.7,0.455,0.394,0.882,7.6,1.2,1.8,0.386,0.361,0.833
Tristan Thompson,Texas,2011,5,203,102,13.1,7.8,1.3,0.546,0,0.487,8.2,6.5,0.5,0.439,0,0.552
Alec Burks,Colorado,2011,2,198,88,17,5,1.8,0.538,0.352,0.772,7.2,2.2,0.9,0.429,0.333,0.727
Iman Shumpert,Georgia Tech,2011,2,196,96,12.7,4.5,4.2,0.396,0.305,0.738,9.5,3.2,2.8,0.401,0.306,0.798
MarShon Brooks,Providence,2011,2,196,90,14.4,4.3,1.5,0.464,0.333,0.739,12.6,3.6,2.3,0.428,0.313,0.764
Nikola Vu?evi?,Southern California,2011,5,208,99,11.1,8,1.1,0.509,0.303,0.746,5.5,4.8,0.6,0.45,0.375,0.529
Landry Fields,Stanford,2010,2,201,97,12.6,6.6,1.9,0.498,0.368,0.65,9.7,6.4,1.9,0.497,0.393,0.769
Al-Farouq Aminu,Wake Forest,2010,3,206,97,12.9,8.2,1.5,0.516,0.179,0.671,5.6,3.3,0.7,0.394,0.315,0.773
Eric Bledsoe,Kentucky,2010,1,185,86,11.3,3.1,2.9,0.462,0.383,0.667,6.7,2.8,3.6,0.424,0.276,0.744
DeMarcus Cousins,Kentucky,2010,5,211,122,15.1,9.8,1,0.558,0.167,0.604,14.1,8.6,2.5,0.43,0.167,0.687
Greg Monroe,GeorgeTown,2010,5,211,112,14.5,8.2,3.2,0.543,0.273,0.677,9.4,7.5,1.3,0.551,0,0.622
Derrick Favors,Georgia Tech,2010,4,208,111,12.4,8.4,1,0.611,0,0.629,6.8,5.3,0.5,0.517,0,0.595
Evan Turner,Ohio State,2010,2,201,95,15,6.8,4.1,0.502,0.362,0.758,7.2,3.9,2,0.425,0.318,0.808
Gordon Hayward,Butler,2010,3,203,93,13.1,3.2,2,0.479,0.448,0.815,5.4,1.9,1.1,0.485,0.473,0.711
John Wall,Kentucky,2010,1,193,88,16.6,4.3,9,0.461,0.325,0.754,16.4,4.6,8.3,0.409,0.296,0.766
Quincy Pondexter,Washington,2010,3,201,97,9.9,4.8,1.9,0.452,0.288,0.685,2.8,1.3,0.4,0.406,0.36,0.706
Trevor Booker,Clemson,2010,4,201,108,10.4,6.4,1.1,0.602,0,0.615,5.3,3.9,0.5,0.549,0,0.673
Ed Davis,UNC,2010,5,208,102,9.2,7.7,0.7,0.548,0,0.623,7.7,7.1,0.6,0.576,0,0.555
Paul George,Fresno State,2010,3,201,95,14.3,6.2,1.9,0.47,0.447,0.697,7.8,3.7,1.1,0.453,0.297,0.762
Larry Sanders,VCU,2010,5,208,106,4.9,5.2,0.1,0.504,0,0.456,4.3,3,0.3,0.433,0,0.56
Ekpe Udoh,Baylor,2010,5,208,108,6,5,0.9,0.437,0.375,0.589,4.1,3.1,0.7,0.437,0,0.656
